myFlowerExperiment | INFO flwr 2024-04-23 22:30:24,143 | app.py:150 | Starting Flower server, config: num_rounds=10, no round_timeout
myFlowerExperiment | WARNING flwr 2024-04-23 22:34:49,546 | dp_fixed_clipping.py:318 | The number of clients returning parameters (3) differs from the number of sampled clients (4). This could impact the differential privacy guarantees, potentially leading to privacy leakage or inadequate noise calibration.
myFlowerExperiment | INFO flwr 2024-04-23 22:34:49,611 | dp_fixed_clipping.py:338 | aggregate_fit: central DP noise with standard deviation: 0.075 added to parameters.
myFlowerExperiment | INFO flwr 2024-04-23 22:34:49,971 | server.py:129 | fit progress: (9, 6.968876361846924, {'accuracy': 0.4695431590080261}, 95.1071451659991)
myFlowerExperiment | INFO flwr 2024-04-23 22:34:49,971 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 22:34:50,121 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
myFlowerExperiment | INFO flwr 2024-04-23 22:34:50,121 | server.py:110 | 
myFlowerExperiment | INFO flwr 2024-04-23 22:34:50,121 | server.py:111 | [ROUND 10]
myFlowerExperiment | INFO flwr 2024-04-23 22:34:50,121 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 22:34:59,722 | server.py:238 | aggregate_fit: received 3 results and 0 failures
myFlowerExperiment | WARNING flwr 2024-04-23 22:34:59,723 | dp_fixed_clipping.py:318 | The number of clients returning parameters (3) differs from the number of sampled clients (4). This could impact the differential privacy guarantees, potentially leading to privacy leakage or inadequate noise calibration.
myFlowerExperiment | INFO flwr 2024-04-23 22:34:59,777 | dp_fixed_clipping.py:338 | aggregate_fit: central DP noise with standard deviation: 0.075 added to parameters.
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,160 | server.py:129 | fit progress: (10, 7.609959602355957, {'accuracy': 0.3299492299556732}, 105.29613320799945)
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,160 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,313 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:487 | 
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:488 | [SUMMARY]
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:489 | Run finished 10 rounds in 105.45s
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:492 | History (loss, distributed):
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	('\tround 1: 2.2532684740704525\n'
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	 '\tround 2: 2.66979813991108\n'
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	 '\tround 3: 2.4843062721063034\n'
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	 '\tround 4: 3.519371877563955\n'
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	 '\tround 5: 0.8701672282991509\n'
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	 '\tround 6: 2.760393397317946\n'
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	 '\tround 7: 1.0664110477585411\n'
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	 '\tround 8: 1.6211863652338965\n'
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	 '\tround 9: 1.8200317544388853\n'
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	 '\tround 10: 3.732282565030487\n')History (loss, centralized):
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	('\tround 0: 1.4650483131408691\n'
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	 '\tround 1: 3.3891637325286865\n'
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	 '\tround 2: 6.353161334991455\n'
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	 '\tround 3: 3.9405131340026855\n'
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	 '\tround 4: 7.215191841125488\n'
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	 '\tround 5: 3.7896292209625244\n'
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	 '\tround 6: 9.445725440979004\n'
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	 '\tround 7: 4.297558307647705\n'
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	 '\tround 8: 6.210009574890137\n'
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	 '\tround 9: 6.968876361846924\n'
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	 '\tround 10: 7.609959602355957\n')History (metrics, centralized):
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	{'accuracy': [(0, 0.27411168813705444),
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	              (1, 0.3096446692943573),
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	              (2, 0.22588832676410675),
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	              (3, 0.3045685291290283),
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	              (4, 0.3578680157661438),
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	              (5, 0.494923859834671),
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	              (6, 0.398477166891098),
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	              (7, 0.42131978273391724),
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	              (8, 0.4010152220726013),
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	              (9, 0.4695431590080261),
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,316 | server.py:494 | 	              (10, 0.3299492299556732)]}
myFlowerExperiment | INFO flwr 2024-04-23 22:35:00,317 | server.py:495 | 
myFlowerExperiment | INFO flwr 2024-04-23 23:15:35,028 | app.py:150 | Starting Flower server, config: num_rounds=10, no round_timeout
myFlowerExperiment | INFO flwr 2024-04-23 23:15:35,058 | app.py:163 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
myFlowerExperiment | INFO flwr 2024-04-23 23:15:35,059 | server.py:92 | [INIT]
myFlowerExperiment | INFO flwr 2024-04-23 23:15:35,059 | server.py:279 | Requesting initial parameters from one random client
myFlowerExperiment | INFO flwr 2024-04-23 23:15:42,277 | server.py:285 | Received initial parameters from one random client
myFlowerExperiment | INFO flwr 2024-04-23 23:15:42,277 | server.py:94 | Evaluating initial global parameters
myFlowerExperiment | INFO flwr 2024-04-23 23:15:42,702 | server.py:97 | initial parameters (loss, other metrics): 1.4079855680465698, {'accuracy': 0.2791878283023834}
myFlowerExperiment | INFO flwr 2024-04-23 23:15:42,702 | server.py:110 | 
myFlowerExperiment | INFO flwr 2024-04-23 23:15:42,703 | server.py:111 | [ROUND 1]
myFlowerExperiment | INFO flwr 2024-04-23 23:15:43,629 | server.py:224 | configure_fit: strategy sampled 2 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 23:15:50,828 | server.py:238 | aggregate_fit: received 2 results and 0 failures
myFlowerExperiment | WARNING flwr 2024-04-23 23:15:50,844 | fedavg.py:252 | No fit_metrics_aggregation_fn provided
myFlowerExperiment | INFO flwr 2024-04-23 23:15:51,269 | server.py:129 | fit progress: (1, 1.5475082397460938, {'accuracy': 0.2893401086330414}, 8.56623374999981)
myFlowerExperiment | INFO flwr 2024-04-23 23:15:51,269 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 23:15:51,521 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
myFlowerExperiment | WARNING flwr 2024-04-23 23:15:51,521 | fedavg.py:283 | No evaluate_metrics_aggregation_fn provided
myFlowerExperiment | INFO flwr 2024-04-23 23:15:51,521 | server.py:110 | 
myFlowerExperiment | INFO flwr 2024-04-23 23:15:51,521 | server.py:111 | [ROUND 2]
myFlowerExperiment | INFO flwr 2024-04-23 23:15:51,521 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 23:16:01,374 | server.py:238 | aggregate_fit: received 3 results and 0 failures
myFlowerExperiment | INFO flwr 2024-04-23 23:16:01,761 | server.py:129 | fit progress: (2, 2.59144926071167, {'accuracy': 0.37055838108062744}, 19.058724792001158)
myFlowerExperiment | INFO flwr 2024-04-23 23:16:01,761 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 23:16:01,907 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
myFlowerExperiment | INFO flwr 2024-04-23 23:16:01,907 | server.py:110 | 
myFlowerExperiment | INFO flwr 2024-04-23 23:16:01,907 | server.py:111 | [ROUND 3]
myFlowerExperiment | INFO flwr 2024-04-23 23:16:01,907 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 23:16:11,702 | server.py:238 | aggregate_fit: received 3 results and 0 failures
myFlowerExperiment | INFO flwr 2024-04-23 23:16:12,099 | server.py:129 | fit progress: (3, 2.5182886123657227, {'accuracy': 0.4314720928668976}, 29.397181958000147)
myFlowerExperiment | INFO flwr 2024-04-23 23:16:12,099 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 23:16:12,254 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
myFlowerExperiment | INFO flwr 2024-04-23 23:16:12,254 | server.py:110 | 
myFlowerExperiment | INFO flwr 2024-04-23 23:16:12,254 | server.py:111 | [ROUND 4]
myFlowerExperiment | INFO flwr 2024-04-23 23:16:12,254 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 23:16:22,081 | server.py:238 | aggregate_fit: received 3 results and 0 failures
myFlowerExperiment | INFO flwr 2024-04-23 23:16:22,424 | server.py:129 | fit progress: (4, 2.945962429046631, {'accuracy': 0.44162437319755554}, 39.72195962499973)
myFlowerExperiment | INFO flwr 2024-04-23 23:16:22,424 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 23:16:22,564 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
myFlowerExperiment | INFO flwr 2024-04-23 23:16:22,564 | server.py:110 | 
myFlowerExperiment | INFO flwr 2024-04-23 23:16:22,564 | server.py:111 | [ROUND 5]
myFlowerExperiment | INFO flwr 2024-04-23 23:16:22,564 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 23:16:32,445 | server.py:238 | aggregate_fit: received 3 results and 0 failures
myFlowerExperiment | INFO flwr 2024-04-23 23:16:32,833 | server.py:129 | fit progress: (5, 3.211954355239868, {'accuracy': 0.5329949259757996}, 50.13094075000117)
myFlowerExperiment | INFO flwr 2024-04-23 23:16:32,833 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 23:16:32,990 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
myFlowerExperiment | INFO flwr 2024-04-23 23:16:32,990 | server.py:110 | 
myFlowerExperiment | INFO flwr 2024-04-23 23:16:32,990 | server.py:111 | [ROUND 6]
myFlowerExperiment | INFO flwr 2024-04-23 23:16:32,990 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 23:16:42,998 | server.py:238 | aggregate_fit: received 3 results and 0 failures
myFlowerExperiment | INFO flwr 2024-04-23 23:16:43,346 | server.py:129 | fit progress: (6, 3.440493106842041, {'accuracy': 0.5279187560081482}, 60.6445351250004)
myFlowerExperiment | INFO flwr 2024-04-23 23:16:43,346 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 23:16:43,490 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
myFlowerExperiment | INFO flwr 2024-04-23 23:16:43,490 | server.py:110 | 
myFlowerExperiment | INFO flwr 2024-04-23 23:16:43,491 | server.py:111 | [ROUND 7]
myFlowerExperiment | INFO flwr 2024-04-23 23:16:43,491 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 23:16:53,514 | server.py:238 | aggregate_fit: received 3 results and 0 failures
myFlowerExperiment | INFO flwr 2024-04-23 23:16:53,836 | server.py:129 | fit progress: (7, 3.7421884536743164, {'accuracy': 0.5482233762741089}, 71.13447554199956)
myFlowerExperiment | INFO flwr 2024-04-23 23:16:53,836 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 23:16:53,975 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
myFlowerExperiment | INFO flwr 2024-04-23 23:16:53,975 | server.py:110 | 
myFlowerExperiment | INFO flwr 2024-04-23 23:16:53,975 | server.py:111 | [ROUND 8]
myFlowerExperiment | INFO flwr 2024-04-23 23:16:53,975 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 23:17:04,017 | server.py:238 | aggregate_fit: received 3 results and 0 failures
myFlowerExperiment | INFO flwr 2024-04-23 23:17:04,335 | server.py:129 | fit progress: (8, 4.187892436981201, {'accuracy': 0.5203045606613159}, 81.63327883300008)
myFlowerExperiment | INFO flwr 2024-04-23 23:17:04,335 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 23:17:04,483 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
myFlowerExperiment | INFO flwr 2024-04-23 23:17:04,483 | server.py:110 | 
myFlowerExperiment | INFO flwr 2024-04-23 23:17:04,483 | server.py:111 | [ROUND 9]
myFlowerExperiment | INFO flwr 2024-04-23 23:17:04,483 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 23:17:14,451 | server.py:238 | aggregate_fit: received 3 results and 0 failures
myFlowerExperiment | INFO flwr 2024-04-23 23:17:14,824 | server.py:129 | fit progress: (9, 3.9987645149230957, {'accuracy': 0.5837563276290894}, 92.12333483300063)
myFlowerExperiment | INFO flwr 2024-04-23 23:17:14,825 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 23:17:14,969 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
myFlowerExperiment | INFO flwr 2024-04-23 23:17:14,970 | server.py:110 | 
myFlowerExperiment | INFO flwr 2024-04-23 23:17:14,970 | server.py:111 | [ROUND 10]
myFlowerExperiment | INFO flwr 2024-04-23 23:17:14,970 | server.py:224 | configure_fit: strategy sampled 3 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 23:17:25,020 | server.py:238 | aggregate_fit: received 3 results and 0 failures
myFlowerExperiment | INFO flwr 2024-04-23 23:17:25,409 | server.py:129 | fit progress: (10, 3.9801907539367676, {'accuracy': 0.5482233762741089}, 102.70801070800007)
myFlowerExperiment | INFO flwr 2024-04-23 23:17:25,409 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
myFlowerExperiment | INFO flwr 2024-04-23 23:17:25,549 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
myFlowerExperiment | INFO flwr 2024-04-23 23:17:25,551 | server.py:487 | 
myFlowerExperiment | INFO flwr 2024-04-23 23:17:25,552 | server.py:488 | [SUMMARY]
